ticker,column,n_missing,pct_missing
TSLA,Value_USD,0,0.0
TSLA,adj_close,0,0.0
TSLA,close,0,0.0
TSLA,high,0,0.0
TSLA,low,0,0.0
TSLA,open,0,0.0
TSLA,real_close,0,0.0
TSLA,volume,0,0.0
UNH,CPI_USD,0,0.0
UNH,Value_USD,0,0.0
UNH,adj_close,0,0.0
UNH,close,0,0.0
UNH,high,0,0.0
UNH,low,0,0.0
UNH,open,0,0.0
UNH,real_close,0,0.0
UNH,volume,0,0.0
UNP,CPI_USD,0,0.0
UNP,Value_USD,0,0.0
UNP,adj_close,0,0.0
UNP,close,0,0.0
UNP,high,0,0.0
UNP,low,0,0.0
UNP,open,0,0.0
UNP,real_close,0,0.0
UNP,volume,0,0.0
V,CPI_USD,0,0.0
V,Value_USD,0,0.0
V,adj_close,0,0.0
V,close,0,0.0
V,high,0,0.0
V,low,0,0.0
V,open,0,0.0
V,real_close,0,0.0
V,volume,0,0.0
VLO,CPI_USD,0,0.0
VLO,Value_USD,0,0.0
VLO,adj_close,0,0.0
VLO,close,0,0.0
VLO,high,0,0.0
VLO,low,0,0.0
VLO,open,0,0.0
VLO,real_close,0,0.0
VLO,volume,0,0.0
VMC,CPI_USD,0,0.0
VMC,Value_USD,0,0.0
VMC,adj_close,0,0.0
VMC,close,0,0.0
VMC,high,0,0.0
VMC,low,0,0.0
VMC,open,0,0.0
VMC,real_close,0,0.0
VMC,volume,0,0.0
VST,CPI_USD,0,0.0
VST,Value_USD,0,0.0
VST,adj_close,0,0.0
VST,close,0,0.0
VST,high,0,0.0
VST,low,0,0.0
VST,open,0,0.0
VST,real_close,0,0.0
VST,volume,0,0.0
VTR,CPI_USD,0,0.0
VTR,Value_USD,0,0.0
VTR,adj_close,0,0.0
VTR,close,0,0.0
VTR,high,0,0.0
VTR,low,0,0.0
VTR,open,0,0.0
VTR,real_close,0,0.0
VTR,volume,0,0.0
VZ,CPI_USD,0,0.0
VZ,Value_USD,0,0.0
VZ,adj_close,0,0.0
VZ,close,0,0.0
VZ,high,0,0.0
VZ,low,0,0.0
VZ,open,0,0.0
VZ,real_close,0,0.0
VZ,volume,0,0.0
WFC,CPI_USD,0,0.0
WFC,Value_USD,0,0.0
WFC,adj_close,0,0.0
WFC,close,0,0.0
WFC,high,0,0.0
WFC,low,0,0.0
WFC,open,0,0.0
WFC,real_close,0,0.0
WFC,volume,0,0.0
WMB,CPI_USD,0,0.0
WMB,Value_USD,0,0.0
WMB,adj_close,0,0.0
WMB,close,0,0.0
WMB,high,0,0.0
WMB,low,0,0.0
WMB,open,0,0.0
WMB,real_close,0,0.0
WMB,volume,0,0.0
WMT,CPI_USD,0,0.0
WMT,Value_USD,0,0.0
WMT,adj_close,0,0.0
WMT,close,0,0.0
WMT,high,0,0.0
WMT,low,0,0.0
WMT,open,0,0.0
WMT,real_close,0,0.0
WMT,volume,0,0.0
XOM,CPI_USD,0,0.0
XOM,Value_USD,0,0.0
XOM,adj_close,0,0.0
XOM,close,0,0.0
XOM,high,0,0.0
XOM,low,0,0.0
XOM,open,0,0.0
XOM,real_close,0,0.0
XOM,volume,0,0.0
