ticker,variable,mean,std,n_obs,n_outliers_3sigma,pct_outliers_3sigma
JNJ,Return,0.0002684806873354361,0.011562880769004639,3273,51,1.5582034830430798
JPM,Return,0.0006183771097875474,0.026441995570619922,3273,69,2.1081576535288726
KO,Return,0.0001937427919316422,0.012590524951580095,3273,55,1.6804155209288116
LLY,Return,0.00041980741913937817,0.015998217607181533,3273,57,1.7415215398716772
LMT,Return,0.00042179751020373534,0.0151295114743206,3273,59,1.8026275588145433
LOW,Return,0.0007465521372289146,0.020242254173148646,3273,49,1.497097464100214
MCD,Return,0.0004224311038762975,0.013238065343908895,3273,56,1.7109685304002444
MO,Return,3.819094169433083e-06,0.018614620356402982,3273,20,0.6110601894286587
MPC,Return,0.0006319876157834524,0.026667672683563355,2396,40,1.669449081803005
MS,Return,0.0005974220657862811,0.03497451192382303,3273,48,1.466544454628781
MSFT,Return,0.0006641350350813898,0.018200960654412665,3273,61,1.8637335777574089
MU,Return,0.0012725551825788807,0.035016498727212665,3273,60,1.833180568285976
NFLX,Return,0.0019998837956965386,0.033115237667461925,3273,48,1.466544454628781
O,Return,0.00046390602675571216,0.022453076987282713,3273,57,1.7415215398716772
ORCL,Return,0.00041804130681094787,0.017885464513767938,3273,56,1.7109685304002444
PDD,Return,0.004061188066957331,0.0455013937365589,613,13,2.1207177814029365
PEP,Return,0.00021816515899879745,0.012258091377825294,3273,46,1.405438435685915
PG,Return,0.00020958243680768831,0.012160741711105106,3273,57,1.7415215398716772
PLD,Return,0.0005558927474543177,0.029784770556878448,3273,78,2.383134738771769
PLTR,Return,0.016612537197122627,0.07082145806000334,64,0,0.0
PM,Return,0.0002164712573029898,0.015300389402735499,3222,45,1.3966480446927374
PSX,Return,0.0004965930505994684,0.021222611762050713,2195,37,1.685649202733485
RTX,Return,0.00021451853485176885,0.017488262038680306,3273,57,1.7415215398716772
SHW,Return,0.0008716625878683444,0.017439041515671293,3273,50,1.5276504735716467
SO,Return,0.0001664207433920476,0.013072818502209814,3273,46,1.405438435685915
T,Return,-6.580062136179627e-05,0.014631771361940861,3273,51,1.5582034830430798
TJX,Return,0.0007892334383117447,0.0177394932836156,3273,52,1.5887564925145128
TMUS,Return,0.0007107809021031558,0.027302735832554912,3273,45,1.374885426214482
TSLA,Return,0.002447272772944861,0.03547694802073789,2646,49,1.8518518518518516
UNH,Return,0.0007222027296462016,0.021533091400282853,3273,60,1.833180568285976
UNP,Return,0.0006978323618436806,0.018972939144558488,3273,59,1.8026275588145433
V,Return,0.0009727614579614372,0.01917665588439929,3220,55,1.7080745341614907
VLO,Return,0.0002977170813219783,0.028162568752938464,3273,51,1.5582034830430798
VMC,Return,0.00042796869670665047,0.02414140954462921,3273,54,1.6498625114573784
VST,Return,0.0003820096042541378,0.021290495097043043,1067,20,1.874414245548266
VTR,Return,0.00028872776845170864,0.026726517768622896,3273,74,2.2609227008860375
VZ,Return,0.00014327680806993515,0.013639324741644235,3273,50,1.5276504735716467
WFC,Return,0.0003594173315839236,0.02905087026753243,3273,71,2.1692636724717387
