Date,real_close,close,adj_close,open,high,low,volume,Return,__variable,__zscore,__ticker
2008-11-13,35.52448712853891,23.64999961853028,16.89021873474121,22.114999771118164,23.725000381469727,21.89999961853028,29975600.0,0.06411694994834094,Return,3.316902519999919,GILD
2008-12-16,36.32830783526375,23.934999465942383,17.093761444091797,22.61000061035156,23.975000381469727,22.61000061035156,28325800.0,0.07936867145142412,Return,4.110971038990871,GILD
2009-10-21,33.45403915369487,22.665000915527344,16.1867618560791,22.63500022888184,22.684999465942383,21.89999961853028,47581200.0,,volume,3.8402266770882494,GILD
2009-12-16,31.93789902693657,21.614999771118164,15.436878204345703,22.690000534057617,22.729999542236328,21.475000381469727,46600200.0,,volume,3.73016740687895,GILD
2010-01-27,35.37060269450474,24.020000457763672,17.154464721679688,23.540000915527344,24.15999984741211,23.434999465942383,56743600.0,,volume,4.868164554117492,GILD
2010-01-27,35.37060269450474,24.020000457763672,17.154464721679688,23.540000915527344,24.15999984741211,23.434999465942383,56743600.0,0.07064858611774927,Return,3.656966863463136,GILD
2010-03-25,33.68504060414244,22.975000381469727,16.40814971923828,23.684999465942383,23.75,22.8799991607666,40254200.0,,volume,3.0182039728848467,GILD
2010-04-21,29.828543281312832,20.3799991607666,14.554865837097168,20.989999771118164,21.25,19.950000762939453,146440000.0,,volume,14.93128415085696,GILD
2010-04-21,29.828543281312832,20.3799991607666,14.554865837097168,20.989999771118164,21.25,19.950000762939453,146440000.0,-0.09562905263977561,Return,-5.000143635362125,GILD
2010-04-22,29.7041370509659,20.295000076293945,14.494163513183594,20.52499961853028,20.809999465942383,20.23500061035156,80492800.0,,volume,7.532608611257856,GILD
2010-04-23,30.49448957552993,20.834999084472656,14.8798189163208,20.489999771118164,20.8799991607666,20.43000030517578,41925200.0,,volume,3.2056749622016047,GILD
2010-04-30,29.06014414054398,19.854999542236328,14.179929733276367,20.53499984741211,20.549999237060547,19.77499961853028,40693800.0,,volume,3.0675230913191056,GILD
2010-05-04,28.174768011659307,19.26499938964844,13.758566856384276,19.68000030517578,19.7549991607666,19.209999084472656,41827800.0,,volume,3.1947475688087548,GILD
2010-05-05,29.40325543334274,20.104999542236328,14.35847282409668,19.239999771118164,20.184999465942383,19.13500022888184,50234200.0,,volume,4.137869127511564,GILD
2010-05-14,27.626336226603065,18.88999938964844,13.490751266479492,19.75,19.86000061035156,18.77499961853028,55320400.0,,volume,4.708494469141064,GILD
2010-05-20,27.034031684002034,18.48500061035156,13.201509475708008,19.28499984741211,19.31999969482422,18.46500015258789,49437000.0,,volume,4.048430544218135,GILD
2010-05-26,25.461859451053503,17.40999984741211,12.433774948120115,18.104999542236328,18.350000381469727,17.389999389648438,43798600.0,,volume,3.415853389123217,GILD
2010-06-08,24.491279397774196,16.729999542236328,11.948134422302246,17.225000381469727,17.2549991607666,16.420000076293945,50593400.0,,volume,4.178168097806346,GILD
2010-07-16,23.373772998628905,15.970000267028809,11.40536403656006,17.239999771118164,17.44499969482422,15.914999961853027,62530600.0,-0.08481377829242798,Return,-4.437055141925953,GILD
2010-07-16,23.373772998628905,15.970000267028809,11.40536403656006,17.239999771118164,17.44499969482422,15.914999961853027,62530600.0,,volume,5.517413276544827,GILD
2010-07-21,24.08362094415408,16.454999923706055,11.75173568725586,16.290000915527344,16.719999313354492,15.864999771118164,60230200.0,,volume,5.259329336494396,GILD
2010-07-27,24.434885820549887,16.69499969482422,11.923139572143556,16.71500015258789,16.770000457763672,16.40999984741211,92023800.0,,volume,8.826281847530469,GILD
2010-08-18,24.678898287918543,16.885000228881836,12.058833122253418,16.9950008392334,17.075000762939453,16.864999771118164,40228600.0,,volume,3.015331885915063,GILD
2010-10-20,28.003981933345376,19.19499969482422,13.708569526672363,18.7450008392334,19.625,18.63999938964844,40286400.0,,volume,3.021816519776528,GILD
2011-01-26,28.73176750682705,19.82999992370605,14.16207218170166,18.9950008392334,19.93000030517578,18.93000030517578,42215000.0,,volume,3.238187884226737,GILD
2011-04-21,27.70789431627534,19.530000686645508,13.947823524475098,19.77499961853028,20.0,19.479999542236328,44105000.0,,volume,3.450228680042819,GILD
2011-08-04,26.359529800649096,18.71500015258789,13.365769386291504,19.645000457763672,19.684999465942383,18.684999465942383,28618800.0,-0.057890744111775194,Return,-3.035329187629451,GILD
2011-08-10,24.887677787388927,17.670000076293945,12.619454383850098,18.950000762939453,19.020000457763672,17.639999389648438,31104800.0,-0.07341372002802116,Return,-3.843520347798082,GILD
2011-11-21,25.571128463138084,18.1299991607666,12.947976112365724,18.52499961853028,18.600000381469727,17.225000381469727,86777600.0,,volume,8.237705962339819,GILD
2011-11-21,25.571128463138084,18.1299991607666,12.947976112365724,18.52499961853028,18.600000381469727,17.225000381469727,86777600.0,-0.09077238339083926,Return,-4.747285087102364,GILD
2011-11-22,27.3341682898631,19.3799991607666,13.840696334838867,18.290000915527344,19.48500061035156,18.280000686645508,61453800.0,,volume,5.39660611837829,GILD
2011-11-22,27.3341682898631,19.3799991607666,13.840696334838867,18.290000915527344,19.48500061035156,18.280000686645508,61453800.0,0.06894650070944341,Return,3.5683491661693374,GILD
2011-11-23,27.954759062122186,19.81999969482422,14.15493392944336,19.209999084472656,20.02499961853028,19.065000534057617,51863400.0,,volume,4.3206505373229716,GILD
2011-12-16,26.270620793257358,18.57999992370605,13.269356727600098,19.084999084472656,19.299999237060547,18.520000457763672,46339600.0,,volume,3.700930459053727,GILD
2012-02-03,38.332503839974535,27.350000381469727,19.53266716003418,26.70499992370605,27.450000762939453,26.5,75343200.0,,volume,6.9548703667422505,GILD
2012-02-03,38.332503839974535,27.350000381469727,19.53266716003418,26.70499992370605,27.450000762939453,26.5,75343200.0,0.10930844128039219,Return,5.6697608898423075,GILD
2012-02-17,32.93652020749968,23.5,16.783098220825195,23.0,23.940000534057617,22.799999237060547,124983800.0,-0.14249226742579213,Return,-7.440038931953032,GILD
2012-02-17,32.93652020749968,23.5,16.783098220825195,23.0,23.940000534057617,22.799999237060547,124983800.0,,volume,12.524093821127323,GILD
2012-04-19,36.23016385248929,26.125,18.65780258178711,27.225000381469727,27.375,25.799999237060547,72033400.0,0.12100406169906486,Return,6.278683887987686,GILD
2012-04-19,36.23016385248929,26.125,18.65780258178711,27.225000381469727,27.375,25.799999237060547,72033400.0,,volume,6.583540935000416,GILD
2012-07-27,38.64849806201551,27.75,19.818334579467773,26.979999542236328,27.795000076293945,26.809999465942383,28110600.0,0.07391640232714258,Return,3.8271030659372642,GILD
2012-08-02,39.67420657292613,28.645000457763672,20.45751953125,28.950000762939453,29.420000076293945,28.01499938964844,58864400.0,0.0682453808412864,Return,3.5318459284705614,GILD
2012-08-02,39.67420657292613,28.645000457763672,20.45751953125,28.950000762939453,29.420000076293945,28.01499938964844,58864400.0,,volume,5.106099009020531,GILD
2012-09-17,45.36508526915993,32.900001525878906,23.4963321685791,30.959999084472656,33.1349983215332,30.95499992370605,42983200.0,,volume,3.3243729314997075,GILD
2012-09-17,45.36508526915993,32.900001525878906,23.4963321685791,30.959999084472656,33.1349983215332,30.95499992370605,42983200.0,0.06094812263937888,Return,3.1519200943991814,GILD
2012-11-12,51.23279882672757,36.96500015258789,26.399452209472656,36.15499877929688,37.16999816894531,35.790000915527344,61555000.0,0.13720962737784825,Return,7.12241353092411,GILD
2012-11-12,51.23279882672757,36.96500015258789,26.399452209472656,36.15499877929688,37.16999816894531,35.790000915527344,61555000.0,,volume,5.407959837180717,GILD
2013-10-10,85.71846752061069,62.7400016784668,44.80728149414063,61.630001068115234,62.79999923706055,61.150001525878906,15240300.0,0.06519524708162727,Return,3.373043186316687,GILD
2014-04-10,88.13141337288708,65.4800033569336,46.764122009277344,70.80000305175781,71.2300033569336,64.80999755859375,43152600.0,,volume,3.343378069495075,GILD
2014-04-10,88.13141337288708,65.4800033569336,46.764122009277344,70.80000305175781,71.2300033569336,64.80999755859375,43152600.0,-0.07317760873722767,Return,-3.8312274048041046,GILD
2014-12-22,126.2402189278252,92.9000015258789,66.34678649902344,96.7300033569336,98.06999969482422,92.4499969482422,72464200.0,,volume,6.631872773538811,GILD
2014-12-22,126.2402189278252,92.9000015258789,66.34678649902344,96.7300033569336,98.06999969482422,92.4499969482422,72464200.0,-0.14338400977350452,Return,-7.4864667745560025,GILD
2014-12-23,121.55206687153556,89.44999694824219,63.88287734985352,93.41000366210938,93.5,85.94999694824219,61035200.0,,volume,5.3496430087864315,GILD
2015-02-04,133.80612536266776,98.43000030517578,70.29615020751953,98.93000030517578,100.20999908447266,95.80999755859376,59415800.0,,volume,5.167961069768144,GILD
2015-02-04,133.80612536266776,98.43000030517578,70.29615020751953,98.93000030517578,100.20999908447266,95.80999755859376,59415800.0,-0.08163836513422229,Return,-4.271729829421981,GILD
2015-08-21,141.0266521939634,105.33000183105467,75.4964599609375,110.54000091552734,111.22000122070312,105.33000183105467,22739400.0,-0.06281695521785025,Return,-3.2918083763195294,GILD
2016-04-29,117.63815635591136,88.20999908447266,64.05575561523438,91.19000244140624,92.52999877929688,87.80000305175781,33629200.0,-0.09061856613945707,Return,-4.739276716573462,GILD
2016-07-26,107.475427106409,81.05000305175781,59.18760299682617,84.05000305175781,84.1500015258789,80.51000213623047,47371900.0,-0.08469790786586673,Return,-4.431022442076579,GILD
2016-07-26,107.475427106409,81.05000305175781,59.18760299682617,84.05000305175781,84.1500015258789,80.51000213623047,47371900.0,,volume,3.8167451222923203,GILD
2016-11-09,103.74167683643624,78.47000122070312,57.65065383911133,76.80000305175781,80.0,76.75,26693700.0,0.059832526342483705,Return,3.0938374773589827,GILD
2017-02-08,87.53689668951775,66.83000183105469,49.41504669189453,67.2699966430664,67.2699966430664,65.75,51547400.0,-0.086147896334959,Return,-4.506514916547301,GILD
2017-02-08,87.53689668951775,66.83000183105469,49.41504669189453,67.2699966430664,67.2699966430664,65.75,51547400.0,,volume,4.285198213789701,GILD
2017-08-30,105.5683345530777,81.2300033569336,61.0117416381836,75.81999969482422,81.44000244140625,75.73999786376953,35927100.0,0.07248489104843503,Return,3.7525725914087094,GILD
2018-05-02,84.82202364029727,66.87999725341797,51.253379821777344,68.26000213623047,68.76000213623047,66.0199966430664,25822600.0,-0.07828005094114088,Return,-4.096881922773059,GILD
2020-02-24,89.92290912594227,72.9000015258789,59.4345588684082,73.88999938964844,74.5199966430664,71.58999633789062,42905000.0,,volume,3.3155996033341957,GILD
2020-02-26,92.14322217675648,74.69999694824219,60.90206146240234,71.31999969482422,75.47000122070312,70.72000122070312,35000500.0,0.06562052174393807,Return,3.3951847669374215,GILD
